Date,PnL
2016-05-24,81412.56
2016-05-25,81489.14
2016-05-26,81477.34
2016-05-27,81577.58
2016-05-29,81577.93
2016-05-30,81438.54
2016-05-31,80953.11
2016-06-01,80520.54
2016-06-02,80715.21
2016-06-03,79950.83
2016-06-05,79950.83
2016-06-06,80152.24
2016-06-07,80324.42
2016-06-08,80081.91
2016-06-09,80546.51
2016-06-10,80446.73
2016-06-12,80446.73
2016-06-13,80388.25
2016-06-14,80859.95
2016-06-15,80870.12
2016-06-16,82112.35
2016-06-17,82371.61
2016-06-19,82371.61
2016-06-20,82391.14
2016-06-21,82740.63
2016-06-22,82545.25
2016-06-23,82994.85
2016-06-24,84301.69
2016-06-26,84301.69
2016-06-27,84516.12
2016-06-28,84094.85
2016-06-29,83651.80
2016-06-30,83397.51
2016-07-01,82893.83
2016-07-03,82901.75
2016-07-04,83253.31
2016-07-05,83128.72
2016-07-06,83511.00
2016-07-07,83429.47
2016-07-08,83880.27
2016-07-10,83880.27
2016-07-11,83852.62
2016-07-12,84000.91
2016-07-13,83885.25
2016-07-14,83719.05
2016-07-15,83771.46
2016-07-17,83779.60
2016-07-18,83908.55
2016-07-19,84380.99
2016-07-20,84526.34
2016-07-21,84706.12
2016-07-22,85015.15
2016-07-24,85018.46
2016-07-25,85111.01
2016-07-26,85191.01
2016-07-27,85733.05
2016-07-28,85386.83
2016-07-29,85271.25
2016-07-31,85267.22
2016-08-01,85112.74
2016-08-02,84948.09
2016-08-03,84948.70
2016-08-04,85083.33
2016-08-05,85374.66
2016-08-07,85369.17
2016-08-08,85669.04
2016-08-09,85813.59
2016-08-10,85690.02
2016-08-11,85564.61
2016-08-12,85218.77
2016-08-14,85219.66
2016-08-15,85118.74
2016-08-16,84875.51
2016-08-17,84661.12
2016-08-18,84407.41
2016-08-19,84708.06
2016-08-21,84704.09
2016-08-22,84655.62
2016-08-23,84750.08
2016-08-24,85032.36
2016-08-25,84822.19
2016-08-26,84455.84
2016-08-28,84459.92
2016-08-29,84735.50
2016-08-30,84540.14
2016-08-31,84820.36
2016-09-01,84569.86
2016-09-02,84615.09
2016-09-04,84615.14
2016-09-05,84713.30
2016-09-06,84433.97
2016-09-07,84426.47
2016-09-08,84226.04
2016-09-09,84479.49
2016-09-11,84478.10
2016-09-12,84618.53
2016-09-13,84335.03
2016-09-14,84399.07
2016-09-15,84700.65
2016-09-16,84944.04
2016-09-18,84949.75
2016-09-19,84879.11
2016-09-20,84961.04
2016-09-21,84839.00
2016-09-22,84289.31
2016-09-23,84332.14
2016-09-25,84332.14
2016-09-26,84115.88
2016-09-27,84321.12
2016-09-28,84379.99
2016-09-29,84256.52
2016-09-30,84100.06
